%time,field.layout.data_offset,field.data0,field.data1
1547109382629520635,0,111.977783203,-672.592102051
1547109382636557655,0,111.977783203,-678.326293945
1547109382643282030,0,112.069404602,-678.326293945
1547109382649724220,0,112.069404602,-684.226318359
1547109382656145072,0,112.069404602,-688.752624512
1547109382663137014,0,112.188583374,-688.752624512
1547109382669877133,0,112.142715454,-691.221069336
1547109382676137957,0,112.188583374,-693.652648926
1547109382683667109,0,112.500091553,-693.652648926
1547109382689898859,0,112.26184082,-698.415771484
1547109382696480851,0,112.59210968,-698.415771484
1547109382703302865,0,112.500091553,-707.549987793
1547109382709629938,0,112.59210968,-720.026306152
1547109382718348513,0,112.546096802,-720.026306152
1547109382722762081,0,112.619216919,-731.434204102
1547109382729237341,0,112.738342285,-743.963134766
1547109382739128590,0,112.738342285,-743.963134766
1547109382742799207,0,112.426925659,-757.155273438
1547109382749444005,0,112.619216919,-757.155273438
1547109382756068834,0,112.830566406,-689.900024414
1547109382762948700,0,112.976577759,-552.110534668
1547109382769286425,0,112.903625488,-552.110534668
1547109382776010064,0,113.022796631,-529.889465332
1547109382783006276,0,113.022796631,-531.760498047
1547109382789670043,0,112.976577759,-531.760498047
1547109382796294916,0,113.022796631,-532.56842041
1547109382803076012,0,113.095710754,-533.507873535
1547109382809649305,0,113.261154175,-533.507873535
1547109382816395048,0,113.214836121,-533.868408203
1547109382822820781,0,113.261154175,-533.868408203
1547109382829465851,0,113.261154175,-534.442077637
1547109382836343671,0,113.287597656,-534.36315918
1547109382843409488,0,113.380325317,-534.36315918
1547109382849592119,0,113.3074646,-533.868408203
1547109382856254506,0,113.380325317,-533.868408203
1547109382862766954,0,113.214836121,-532.81842041
1547109382869748887,0,113.333953857,-530.763183594
1547109382876162912,0,113.261154175,-530.763183594
1547109382883029903,0,113.453079224,-529.907897949
1547109382889499694,0,113.453079224,-531.173706055
1547109382896173094,0,113.49949646,-531.173706055
1547109382902803473,0,113.453079224,-533.976318359
1547109382910184729,0,113.572212219,-533.976318359
1547109382916353322,0,113.857017517,-537.078918457
1547109382923352079,0,113.976196289,-539.023681641
1547109382929612157,0,113.976196289,-540.121032715
1547109382936302239,0,113.929580688,-540.121032715
1547109382942905108,0,113.929580688,-541.099975586
1547109382949978751,0,113.976196289,-541.099975586
1547109382956143979,0,113.976196289,-538.847351074
1547109382962697959,0,114.214538574,-533.865783691
1547109382969635825,0,114.214538574,-533.865783691
1547109382976232220,0,114.214538574,-529.115783691
1547109382983794312,0,114.333709717,-529.115783691
1547109382990133216,0,114.452888489,-527.231567383
1547109382995981218,0,114.452888489,-528.597351074
1547109383002635366,0,114.452888489,-528.597351074
